target,text
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
ham,No plm i will come da. On the way.
ham,"Yo, you around? Just got my car back"
ham,Okay. I've seen it. So i should pick it on friday?
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Keep my payasam there if rinu brings
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,I donno its in your genes or something
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,"Yo, any way we could pick something up tonight?"
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! "
ham,"Pity, * was in mood for that. So...any other suggestions?"
ham,my ex-wife was not able to have kids. Do you want kids one day?
ham,Watching ajith film ah?
ham,What time. IÛ÷m out until prob 3 or so
ham,We have all rounder:)so not required:)
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham,Horrible bf... I now v hungry...
ham,what are your new years plans?
ham,No messages on her phone. I'm holding it now
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,Hey i will be late ah... Meet you at 945+
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham,I am late. I will be there at
ham,Depends on where u going lor.
ham,May i call You later Pls
ham,Can you pls send me that company name. In saibaba colany
ham,The bus leaves at  &lt;#&gt; 
ham,Its good to hear from you
ham,In e msg jus now. U said thanks for gift.
ham,Okey dokey swashbuckling stuff what oh.
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
ham,Jos ask if u wana meet up?
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
ham,"Hmm well, night night "
ham,Were trying to find a Chinese food place around here
ham,Were somewhere on Fredericksburg
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
ham,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\"""""
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,East coast
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
ham,LOL ... Have you made plans for new years?
ham,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Is xy in ur car when u picking me up?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Can i get your opinion on something first?
ham,Should I have picked up a receipt or something earlier
ham,Anytime...
ham,Aight ill get on fb in a couple minutes
ham,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\"""""
ham,No da. I am happy that we sit together na
ham,"Sorry, I can't help you on this."
ham,Neva mind it's ok..
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,Yeah jay's sort of a fucking retard
ham,Sir send to group mail check it.
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
ham,Just wanted to say holy shit you guys weren't kidding about this bud
ham,Takin a shower now but yeah I'll leave when I'm done
ham,"U so lousy, run already come back then half dead... Hee..."
ham,LMAO where's your fish memory when I need it?
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
spam,85233 FREE>Ringtone!Reply REAL
ham,I've told him that i've returned it. That should i re order it.
ham,Wishing you a wonderful week.
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,I anything lor.
ham,No he didn't. Spring is coming early yay!
ham,ÌÏ called dad oredi...
ham,Speaking of does he have any cash yet?
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
ham,Dear how you. Are you ok?
ham,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM"
ham,Pls dont forget to study
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,* Will have two more cartons off u and is very pleased with shelves
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,Smith waste da.i wanna gayle.
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,Oh k k:)but he is not a big hitter.anyway good
ham,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever...."
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,I know you are serving. I mean what are you doing now.
spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
ham,Yup song bro. No creative. Neva test quality. He said check review online.
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_
ham,Aah bless! How's your arm?
ham,* Thought I didn't see you.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,When i have stuff to sell i.ll tell you
ham,We got a divorce. Lol. She.s here
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
ham,I told that am coming on wednesday.
ham,Gud mrng dear hav a nice day
ham,Auntie huai juan never pick up her phone
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,Why do you ask princess?
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,So are you guys asking that i get that slippers again or its gone with last year
ham,Missing you too.pray inshah allah
ham,You need to get up. Now.
ham,U ned to convince him tht its not possible witot hurting his feeling its the main
ham,how tall are you princess?
ham,Uncle Abbey! Happy New Year. Abiola
ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,Thanks for ve lovely wisheds. You rock
spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p"
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,"Good! No, donÛ÷t need any receiptsÛÓwell done! (Û_) Yes, please tell . WhatÛ÷s her number, i could ring her"
ham,Aight should I just plan to come up later tonight?
ham,Come to medical college at 7pm ......forward it da
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
ham,Ok lor... But buy wat?
ham,A guy who gets used but is too dumb to realize it.
ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?"
ham,We can make a baby in yo tho
ham,"Jay told me already, will do"
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,"Yeah, don't go to bed, I'll be back before midnight"
ham,You still around? Looking to pick up later
ham,U having lunch alone? I now so bored...
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Okie...
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,But you were together so you should be thinkin about him
ham,Short But Cute : \ Be a good person 
ham,Good night my dear.. Sleepwell&amp;Take care
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,Yeah I don't see why not
ham,Oh that was a forwarded message. I thought you send that to me
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
ham,Wat Ì_ doing now?
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
ham,Watching tv now. I got new job :)
ham,Why i come in between you people
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,"Sorry, I'll call later"
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,How come?
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
ham,Is avatar supposed to have subtoitles
ham,"fyi I'm at usf now, swing by the room whenever"
ham,"Sorry,in meeting I'll call later"
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
ham,"Tick, tick, tick ... Babe"
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! "
ham,Hi where you. You in home or calicut?
ham,Guessin you ain't gonna be here before 9?
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham,Yavnt tried yet and never played original either
ham,Do u noe wat time e place dat sells 4d closes?
ham,I will reach ur home in  &lt;#&gt;  minutes
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,Hey... Very inconvenient for your sis a not huh?
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386
ham,Nope. Meanwhile she talk say make i greet you.
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
ham,No probs hon! How u doinat the mo?
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
spam,"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck."
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
ham,Noice. Text me when you're here
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
ham,K I'll be sure to get up before noon and see what's what
ham,I will vote for wherever my heart guides me
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! "
spam,This message is brought to you by GMW Ltd. and is not connected to the
ham,Oh:)as usual vijay film or its different?
ham,I cant pick the phone right now. Pls send a message
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Ya that one is slow as poo
ham,Do u hav any frnd by name ashwini in ur college?
ham,I was just callin to say hi. Take care bruv!
ham,Yup i'm free...
ham,No..jst change tat only..
ham,Kallis wont bat in 2nd innings.
ham,Was playng 9 doors game and gt racing on phone lol
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,You best watch what you say cause I get drunk as a motherfucker
ham,Is that what time you want me to come?
ham,If you don't respond imma assume you're still asleep and imma start calling n shit
ham,"Aight, I'll text you when I'm back"
ham,I wont do anything de.
ham,Ok then i come n pick u at engin?
ham,You are gorgeous! keep those pix cumming :) thank you!
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! "
ham,"Thanx 4 the time weåÕve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each"
ham,Now press conference da:)
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,You unbelievable faglord
ham,K:)eng rocking in ashes:)
ham,Left dessert. U wan me 2 go suntec look 4 u?
ham,Good morning princess! How are you?
ham,Yup n her fren lor. I'm meeting my fren at 730.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,Yup i shd haf ard 10 pages if i add figures... ÌÏ all got how many pages?
ham,Lmao ok I wont be needing u to do my hair anymore.
spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
ham,Ok lor...
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
ham,Ladies first and genus second k .
